Designator,Value,MPN,LCSC,Footprint,Status,Gate
J1,HRO-TYPE-C-31-M-12,TYPE-C 16PIN 2MD(073),C2765186,USB-C-SMD_TYPE-C-16PIN-2MD-073,locked,
J2,1S-Protected-LiPo,SM02B-SRSS-TB(LF)(SN),C160404,CONN-SMD_SM02B-SRSS-TB,candidate,GATE-BATTERY-SAMPLE
U2,BQ24075RGTR,BQ24075RGTR,C15464,QFN-16_L3.0-W3.0-P0.50-TL-EP1.7,locked,
U3,MAX17048G+T10,MAX17048G+T10,C2682616,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,locked,
U4,TPS63070,TPS63070RNMT,C964639,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,locked,
U6,TPS22919DCK,TPS22919DCKR,C2149796,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,locked,
SW9,SlideSwitch-SPDT-JS102000-class,JS102011SAQN,C431544,SW-SMD_6P-L7.0-W3.5-P1.27-LS4.5-TL,candidate,GATE-POWER-SLIDE-SLOT
D4,LED-CHG,19-217/GHC-YR1S2/3T,C72043,LED0603-RD,locked,
R8,1k,0402WGF1001TCE,C11702,R0402,locked,
R1,5.1k,0402WGF5101TCE,C25905,R0402,locked,
R2,5.1k,0402WGF5101TCE,C25905,R0402,locked,
C1,10u,CL10A106KP8NNNC,C19702,C0603,locked,
C2,10u,CL10A106KP8NNNC,C19702,C0603,locked,
U1,ESP32-P4NRW32X,ESP32-P4NRW32,C22387510,QFN-104_L10.0-W10.0-P0.35-TL-EP7.5,locked,
U9,QSPI-NOR-32MB,W25Q256JVEIQ,C97522,WSON-8_L8.0-W6.10-P1.27-BL-EP,candidate,GATE-ESP32-P4-REF-CAPTURE
X1,40MHz-crystal,X322540MPB4SI,C9010,SMD3225-4P,candidate,GATE-ESP32-P4-REF-CAPTURE
L1,2.2uH,HPC4018BM-2R2M,C692155,IND-SMD_L4.0-W4.0_HPC4018BM,candidate,GATE-ESP32-P4-REF-CAPTURE
R3,4.7k,0402WGF4701TCE,C25900,R0402,locked,
R4,4.7k,0402WGF4701TCE,C25900,R0402,locked,
R5,10k,0402WGF1002TCE,C25744,R0402,locked,
R6,10k,0402WGF1002TCE,C25744,R0402,locked,
